"Points:0","Points:1","Points:2"
6.6847,3.0848,0
-6.2754,0.31902,0
-6.1152,0.4842,0
6.9109,3.298,0
-6.1894,2.0024,0
6.8783,-0.85789,0
-6.0824,2.5601,0
-4.3475,2.7127,0
-6.2054,2.4933,0
6.1167,-4.0281,0
6.7397,-1.5221,0
-6.0124,2.283,0
6.4865,-2.7214,0
6.6623,-1.8351,0
-6.3003,-0.4496,0
6.9166,-1.8931,0
4.3151,-2.0434,0
6.6931,-4.1831,0
-6.5795,1.2021,0
6.803,-2.8078,0
-6.4269,-0.033296,0
4.1912,-4.1682,0
6.8696,-3.3022,0
6.7568,-3.7832,0
5.7294,-3.2743,0
6.855,-3.6681,0
-6.4309,1.1902,0
5.9263,-4.5634,0
6.9044,-4.1575,0
6.8569,-4.7127,0
6.9045,-4.5608,0
-4.0015,2.0795,0
-0.40509,-3.5974,0
-0.16553,5.1178,0
-2.7804,3.5825,0
-2.6866,4.1188,0
0.39816,5.7854,0
-0.13738,-3.1838,0
-1.244,2.5835,0
-4.237,4.3842,0
-4.3851,4.0784,0
-2.3061,1.9566,0
-2.5356,1.695,0
-5.8162,-3.0425,0
-4.9678,-3.3928,0
-5.4999,-3.1922,0
0.98308,-3.9464,0
-3.2258,4.6132,0
-3.622,4.3951,0
-3.0678,4.5669,0
-1.5018,-1.5322,0
-1.1366,-3.0454,0
-4.5109,2.9228,0
-4.4448,2.3475,0
-4.5187,3.9013,0
0.10324,-2.6647,0
1.3875,-3.8811,0
-3.7213,4.5394,0
2.1713,-4.3693,0
2.8172,-4.4299,0
-2.1582,2.143,0
-1.1245,0.9732,0
-3.4229,3.7992,0
-3.4225,4.3905,0
-3.0434,3.478,0
2.2864,5.5701,0
1.9581,5.7363,0
-4.765,-3.5181,0
-4.5541,-3.4491,0
6.8631,0.17249,0
6.7568,0.33199,0
2.4694,5.4369,0
-5.7677,4.2271,0
3.3669,-4.3685,0
2.2258,-0.5563,0
2.4721,4.9819,0
2.429,-4.0229,0
2.5953,-4.4582,0
-6.0172,-1.8153,0
-5.2799,-3.2046,0
-5.2395,-2.1755,0
6.9164,-0.63581,0
6.8854,-0.27082,0
1.0627,2.3049,0
3.1271,-3.6293,0
2.6261,4.2428,0
3.6641,-4.5554,0
3.2392,4.527,0
3.5839,-4.4262,0
5.5188,-0.30685,0
6.6135,-0.56249,0
-4.9173,-2.5705,0
-5.7337,-2.1285,0
3.7774,-4.408,0
-4.4166,-0.16489,0
-4.88,0.57451,0
3.5686,4.7009,0
4.3925,4.1441,0
-3.3674,1.4056,0
3.7983,-4.2208,0
4.1874,-4.6014,0
-4.3422,3.211,0
-4.4516,3.5182,0
4.3462,4.3918,0
4.4188,-4.3,0
4.7514,-4.6464,0
4.9739,-4.5897,0
6.3733,0.42901,0
6.8796,1.7501,0
6.6114,-2.1801,0
6.7435,1.4282,0
5.2795,-4.6518,0
-5.321,3.9534,0
-5.4604,4.4734,0
5.7092,2.5975,0
-6.1886,3.8168,0
-6.2687,3.0934,0
5.3905,-4.4035,0
-4.1553,1.8949,0
-4.197,2.2925,0
6.9116,-2.9796,0
-3.796,1.9286,0
-5.1817,-3.389,0
-4.7123,-3.1103,0
6.6101,1.518,0
6.273,1.3239,0
6.5323,1.7636,0
-4.7216,4.4067,0
-0.42899,-2.1084,0
1.9034,0.9893,0
-4.147,3.2336,0
4.2767,4.288,0
6.5604,2.2315,0
-5.8747,-1.9683,0
6.4097,1.7899,0
6.4393,3.0219,0
-6.1125,-2.7521,0
6.8879,0.92239,0
6.0632,0.71167,0
-5.4812,-1.4821,0
-6.37,-1.2587,0
